Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester
78624338,71.67,6,-40.0,138.0,0.6
78690622,45.5,3,-27.0,125.0,0.6
78700130,61.5,5,-62.0,126.0,0.6
78843637,97.0,6,-6.0,34.0,0.6
79836911,54.0,5,-73.5,135.0,0.6
80058174,96.17,6,-7.67,109.0,0.6
80120841,100.0,6,0.0,30.0,0.6
80307541,96.0,6,8.0,22.0,0.6
80468427,34.5,5,-29.5,117.0,0.6
80757531,100.0,6,0.0,30.0,0.6
81131461,86.5,6,-13.0,57.0,0.6
81163166,94.67,6,-10.67,31.0,0.6
81191987,42.0,4,9.0,120.0,0.6
81577123,100.0,6,0.0,40.0,0.6
81671909,100.0,6,0.0,22.0,0.6
81786701,99.5,6,-1.0,35.0,0.6
81897019,100.0,6,0.0,31.0,0.6
81957281,66.83,5,-23.5,130.0,0.6
82073453,73.33,6,-14.67,140.0,0.6
82073994,0.0,0,0.0,140.0,0.6
82112655,87.67,6,-18.0,109.0,0.6
82158642,82.83,6,-27.67,105.0,0.6
82228479,21.83,4,-34.5,140.0,0.6
82305757,35.0,4,-33.0,117.0,0.6
82634093,83.33,6,-12.0,101.0,0.6
82770253,81.17,6,26.33,35.0,0.6
82801786,23.17,2,39.0,140.0,0.6
82920138,8.67,2,-24.0,125.0,0.6
82965743,100.0,6,0.0,20.0,0.6
82967676,88.83,6,-22.33,34.0,0.6
82999094,79.17,6,-19.0,51.0,0.6
83016591,94.5,6,-11.0,17.0,0.6
83146186,44.33,5,-72.0,127.0,0.6
83593137,87.17,6,-25.67,124.0,0.6
84011888,64.67,6,6.0,126.0,0.6
84150618,100.0,6,0.0,23.0,0.6
84275168,100.0,6,0.0,59.0,0.6
84423917,100.0,6,0.0,56.0,0.6
84536412,90.0,6,-20.0,109.0,0.6
84573777,47.0,5,-62.5,130.0,0.6
84794466,13.33,1,0.0,140.0,0.6
84852399,74.5,6,-9.67,54.0,0.6
84953779,77.33,6,26.67,126.0,0.6
85233385,90.0,6,-20.0,51.0,0.6
85268727,71.0,5,-34.0,46.0,0.6
85443891,100.0,6,0.0,46.0,0.6
85516093,97.0,6,-6.0,121.0,0.6
85627452,8.0,1,0.0,135.0,0.6
85787367,16.67,1,0.0,133.0,0.6
85864105,49.17,5,-34.0,111.0,0.6
86096939,100.0,6,0.0,33.0,0.6
86142462,88.5,6,-20.33,25.0,0.6
86167338,98.33,6,-3.33,45.0,0.6
86497933,81.17,6,-24.33,126.0,0.6
86993802,85.33,6,-29.33,54.0,0.6
87080516,97.67,6,-4.67,46.0,0.6
87142367,97.83,6,4.33,51.0,0.6
